sample_name	biosample_accession	biosample_url	bioproject_accession	bioproject_url	sra_submission_id	sra_experiment_accession	sra_run_accession	release_date	library_ID	title	filetype	filename	filename2	isolate
CJD12	SAMN61220231	https://www.ncbi.nlm.nih.gov/biosample/61220231	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD12_PRNP_capture	CJD12 PRNP targeted-capture sequencing	fastq	CJD12_cjd_case_control_batch_c_R1.fastq.gz	CJD12_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD12
CJD14	SAMN61220232	https://www.ncbi.nlm.nih.gov/biosample/61220232	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD14_PRNP_capture	CJD14 PRNP targeted-capture sequencing	fastq	CJD14_cjd_case_control_batch_c_R1.fastq.gz	CJD14_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD14
CJD15	SAMN61220233	https://www.ncbi.nlm.nih.gov/biosample/61220233	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD15_PRNP_capture	CJD15 PRNP targeted-capture sequencing	fastq	CJD15_cjd_case_control_batch_c_R1.fastq.gz	CJD15_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD15
CJD18	SAMN61220234	https://www.ncbi.nlm.nih.gov/biosample/61220234	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD18_PRNP_capture	CJD18 PRNP targeted-capture sequencing	fastq	CJD18_cjd_case_control_batch_c_R1.fastq.gz	CJD18_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD18
CJD19	SAMN61220235	https://www.ncbi.nlm.nih.gov/biosample/61220235	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD19_PRNP_capture	CJD19 PRNP targeted-capture sequencing	fastq	CJD19_cjd_case_control_batch_c_R1.fastq.gz	CJD19_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD19
CJD21	SAMN61220236	https://www.ncbi.nlm.nih.gov/biosample/61220236	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD21_PRNP_capture	CJD21 PRNP targeted-capture sequencing	fastq	CJD21_cjd_case_control_batch_c_R1.fastq.gz	CJD21_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD21
CJD24	SAMN61220237	https://www.ncbi.nlm.nih.gov/biosample/61220237	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD24_PRNP_capture	CJD24 PRNP targeted-capture sequencing	fastq	CJD24_cjd_case_control_batch_c_R1.fastq.gz	CJD24_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD24
CJD26	SAMN61220238	https://www.ncbi.nlm.nih.gov/biosample/61220238	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD26_PRNP_capture	CJD26 PRNP targeted-capture sequencing	fastq	CJD26_cjd_case_control_batch_c_R1.fastq.gz	CJD26_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD26
CJD28	SAMN61220239	https://www.ncbi.nlm.nih.gov/biosample/61220239	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD28_PRNP_capture	CJD28 PRNP targeted-capture sequencing	fastq	CJD28_cjd_case_control_batch_c_R1.fastq.gz	CJD28_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD28
CJD29	SAMN61220240	https://www.ncbi.nlm.nih.gov/biosample/61220240	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD29_PRNP_capture	CJD29 PRNP targeted-capture sequencing	fastq	CJD29_cjd_case_control_batch_c_R1.fastq.gz	CJD29_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD29
CJD30	SAMN61220241	https://www.ncbi.nlm.nih.gov/biosample/61220241	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD30_PRNP_capture	CJD30 PRNP targeted-capture sequencing	fastq	CJD30_cjd_case_control_batch_c_R1.fastq.gz	CJD30_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD30
CJD31	SAMN61220242	https://www.ncbi.nlm.nih.gov/biosample/61220242	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD31_PRNP_capture	CJD31 PRNP targeted-capture sequencing	fastq	CJD31_cjd_case_control_batch_c_R1.fastq.gz	CJD31_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD31
CJD5	SAMN61220243	https://www.ncbi.nlm.nih.gov/biosample/61220243	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD5_PRNP_capture	CJD5 PRNP targeted-capture sequencing	fastq	CJD5_cjd_case_control_batch_c_R1.fastq.gz	CJD5_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD5
CJD8	SAMN61220244	https://www.ncbi.nlm.nih.gov/biosample/61220244	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD8_PRNP_capture	CJD8 PRNP targeted-capture sequencing	fastq	CJD8_cjd_case_control_batch_c_R1.fastq.gz	CJD8_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from CJD8
Control4	SAMN61220245	https://www.ncbi.nlm.nih.gov/biosample/61220245	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	Control4_PRNP_capture	Control4 PRNP targeted-capture sequencing	fastq	Ctrl4_cjd_case_control_batch_c_R1.fastq.gz	Ctrl4_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from Control4
Control7	SAMN61220246	https://www.ncbi.nlm.nih.gov/biosample/61220246	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	Control7_PRNP_capture	Control7 PRNP targeted-capture sequencing	fastq	Ctrl7_cjd_case_control_batch_c_R1.fastq.gz	Ctrl7_cjd_case_control_batch_c_R2.fastq.gz	brain gDNA from Control7
CJD11	SAMN61220247	https://www.ncbi.nlm.nih.gov/biosample/61220247	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD11_PRNP_capture	CJD11 PRNP targeted-capture sequencing	fastq	CJD11_cjd_case_control_batch_b_R1.fastq.gz	CJD11_cjd_case_control_batch_b_R2.fastq.gz	brain gDNA from CJD11
CJD3	SAMN61220248	https://www.ncbi.nlm.nih.gov/biosample/61220248	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD3_PRNP_capture	CJD3 PRNP targeted-capture sequencing	fastq	CJD3_cjd_case_control_batch_b_R1.fastq.gz	CJD3_cjd_case_control_batch_b_R2.fastq.gz	brain gDNA from CJD3
CJD4	SAMN61220249	https://www.ncbi.nlm.nih.gov/biosample/61220249	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD4_PRNP_capture	CJD4 PRNP targeted-capture sequencing	fastq	CJD4_cjd_case_control_batch_b_R1.fastq.gz	CJD4_cjd_case_control_batch_b_R2.fastq.gz	brain gDNA from CJD4
CJD7	SAMN61220250	https://www.ncbi.nlm.nih.gov/biosample/61220250	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD7_PRNP_capture	CJD7 PRNP targeted-capture sequencing	fastq	CJD7_cjd_case_control_batch_b_R1.fastq.gz	CJD7_cjd_case_control_batch_b_R2.fastq.gz	brain gDNA from CJD7
Control1	SAMN61220251	https://www.ncbi.nlm.nih.gov/biosample/61220251	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	Control1_PRNP_capture	Control1 PRNP targeted-capture sequencing	fastq	Ctrl1_cjd_case_control_batch_b_R1.fastq.gz	Ctrl1_cjd_case_control_batch_b_R2.fastq.gz	brain gDNA from Control1
