plot_kind,lod_id,run_id,run_date,assay,lod_merged_well,physical_well,sample,lod_fraction,accepted_droplets,positives,negatives,fractional_abundance,status,droplet_count,plotted_droplet_count,accepted_clustered_droplets,gated_or_unassigned_droplets,rejected_or_unassigned_droplets,rejected_droplet_count,x_threshold,y_threshold,x_threshold_source,y_threshold_source,threshold_details,peak_path,metadata_path,source_layout,source_analysis_csv,n_wells,contributing_wells,output_path,output_png_path,output_svg_path,output_pdf_path
lod_individual_well,2020-09-11_SNV_D178N_A01,2020-09-11_SNV_D178N,2020-09-11,D178N,M01,A01,NTC,NTC,7092,0,7092,NA,written,3822,3822,2642,1180,0,485,5062.04834,2278.54321,manual_exported,manual_exported,x=5062 Ch2 manual_exported;y=2278.5 Ch1 manual_exported,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakData/A01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakMetaData/A01.ddmetajson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/layout_xlsx/2020-09-11_SNV_D178N_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/analysis_csv/2020-09-11_SNV_D178N_lod_analysis.csv,1,2020-09-11_SNV_D178N_A01,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_A01_NTC.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_A01_NTC.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_A01_NTC.svg,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_A01_NTC.pdf
lod_individual_well,2020-09-11_SNV_D178N_A02,2020-09-11_SNV_D178N,2020-09-11,D178N,M01,A02,NTC,NTC,7092,0,7092,NA,written,6117,6117,4450,1667,0,2461,5062.04834,2278.54321,manual_exported,manual_exported,x=5062 Ch2 manual_exported;y=2278.5 Ch1 manual_exported,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakData/A02.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakMetaData/A02.ddmetajson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/layout_xlsx/2020-09-11_SNV_D178N_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/analysis_csv/2020-09-11_SNV_D178N_lod_analysis.csv,1,2020-09-11_SNV_D178N_A02,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_A02_NTC.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_A02_NTC.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_A02_NTC.svg,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_A02_NTC.pdf
lod_individual_well,2020-09-11_SNV_D178N_C01,2020-09-11_SNV_D178N,2020-09-11,D178N,M02,C01,D178N_1,1,22879,601,22278,1.205880235,written,11443,11443,10151,1292,0,395,4246.21753,2345.6904299999997,cluster_boundary_inferred,cluster_boundary_inferred,x=4246.2 Ch2 cluster_boundary_inferred;y=2345.7 Ch1 cluster_boundary_inferred,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakData/C01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakMetaData/C01.ddmetajson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/layout_xlsx/2020-09-11_SNV_D178N_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/analysis_csv/2020-09-11_SNV_D178N_lod_analysis.csv,1,2020-09-11_SNV_D178N_C01,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_C01_D178N_1.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_C01_D178N_1.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_C01_D178N_1.svg,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_C01_D178N_1.pdf
lod_individual_well,2020-09-11_SNV_D178N_C02,2020-09-11_SNV_D178N,2020-09-11,D178N,M02,C02,D178N_1,1,22879,601,22278,1.205880235,written,14270,14270,12728,1542,0,640,4160.465,2358.262025,cluster_boundary_inferred,cluster_boundary_inferred,x=4160.5 Ch2 cluster_boundary_inferred;y=2358.3 Ch1 cluster_boundary_inferred,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakData/C02.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakMetaData/C02.ddmetajson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/layout_xlsx/2020-09-11_SNV_D178N_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/analysis_csv/2020-09-11_SNV_D178N_lod_analysis.csv,1,2020-09-11_SNV_D178N_C02,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_C02_D178N_1.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_C02_D178N_1.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_C02_D178N_1.svg,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_C02_D178N_1.pdf
lod_individual_well,2020-09-11_SNV_D178N_D01,2020-09-11_SNV_D178N,2020-09-11,D178N,M03,D01,D178N_0.33,0.33,23707,156,23551,0.314932708,written,11859,11859,11204,655,0,485,5062.04834,2278.54321,manual_exported,manual_exported,x=5062 Ch2 manual_exported;y=2278.5 Ch1 manual_exported,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakData/D01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakMetaData/D01.ddmetajson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/layout_xlsx/2020-09-11_SNV_D178N_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/analysis_csv/2020-09-11_SNV_D178N_lod_analysis.csv,1,2020-09-11_SNV_D178N_D01,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_D01_D178N_0.33.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_D01_D178N_0.33.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_D01_D178N_0.33.svg,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_D01_D178N_0.33.pdf
lod_individual_well,2020-09-11_SNV_D178N_D02,2020-09-11_SNV_D178N,2020-09-11,D178N,M03,D02,D178N_0.33,0.33,23707,156,23551,0.314932708,written,13358,13358,12503,855,0,739,3859.927365,2276.50628,cluster_boundary_inferred,cluster_boundary_inferred,x=3859.9 Ch2 cluster_boundary_inferred;y=2276.5 Ch1 cluster_boundary_inferred,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakData/D02.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakMetaData/D02.ddmetajson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/layout_xlsx/2020-09-11_SNV_D178N_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/analysis_csv/2020-09-11_SNV_D178N_lod_analysis.csv,1,2020-09-11_SNV_D178N_D02,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_D02_D178N_0.33.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_D02_D178N_0.33.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_D02_D178N_0.33.svg,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_D02_D178N_0.33.pdf
lod_individual_well,2020-09-11_SNV_D178N_E01,2020-09-11_SNV_D178N,2020-09-11,D178N,M04,E01,D178N_0.1,0.1,46272,178,46094,0.174528831,written,12829,12829,11268,1561,0,548,3800.325095,2346.774045,cluster_boundary_inferred,cluster_boundary_inferred,x=3800.3 Ch2 cluster_boundary_inferred;y=2346.8 Ch1 cluster_boundary_inferred,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakData/E01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakMetaData/E01.ddmetajson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/layout_xlsx/2020-09-11_SNV_D178N_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/analysis_csv/2020-09-11_SNV_D178N_lod_analysis.csv,1,2020-09-11_SNV_D178N_E01,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_E01_D178N_0.1.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_E01_D178N_0.1.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_E01_D178N_0.1.svg,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_E01_D178N_0.1.pdf
lod_individual_well,2020-09-11_SNV_D178N_E02,2020-09-11_SNV_D178N,2020-09-11,D178N,M04,E02,D178N_0.1,0.1,46272,178,46094,0.174528831,written,13174,13174,12726,448,0,530,4433.24756,2318.28894,cluster_boundary_inferred,cluster_boundary_inferred,x=4433.2 Ch2 cluster_boundary_inferred;y=2318.3 Ch1 cluster_boundary_inferred,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakData/E02.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakMetaData/E02.ddmetajson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/layout_xlsx/2020-09-11_SNV_D178N_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/analysis_csv/2020-09-11_SNV_D178N_lod_analysis.csv,1,2020-09-11_SNV_D178N_E02,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_E02_D178N_0.1.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_E02_D178N_0.1.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_E02_D178N_0.1.svg,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_E02_D178N_0.1.pdf
lod_individual_well,2020-09-11_SNV_D178N_F01,2020-09-11_SNV_D178N,2020-09-11,D178N,M04,F01,D178N_0.1,0.1,46272,178,46094,0.174528831,written,10283,10283,9298,985,0,364,5062.04834,2278.54321,manual_exported,manual_exported,x=5062 Ch2 manual_exported;y=2278.5 Ch1 manual_exported,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakData/F01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakMetaData/F01.ddmetajson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/layout_xlsx/2020-09-11_SNV_D178N_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/analysis_csv/2020-09-11_SNV_D178N_lod_analysis.csv,1,2020-09-11_SNV_D178N_F01,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_F01_D178N_0.1.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_F01_D178N_0.1.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_F01_D178N_0.1.svg,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_F01_D178N_0.1.pdf
lod_individual_well,2020-09-11_SNV_D178N_F02,2020-09-11_SNV_D178N,2020-09-11,D178N,M04,F02,D178N_0.1,0.1,46272,178,46094,0.174528831,written,14048,14048,12980,1068,0,486,3143.143835,2115.539,cluster_boundary_inferred,cluster_boundary_inferred,x=3143.1 Ch2 cluster_boundary_inferred;y=2115.5 Ch1 cluster_boundary_inferred,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakData/F02.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/archive_contents/PeakMetaData/F02.ddmetajson,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/layout_xlsx/2020-09-11_SNV_D178N_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/d178n/analysis_csv/2020-09-11_SNV_D178N_lod_analysis.csv,1,2020-09-11_SNV_D178N_F02,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_F02_D178N_0.1.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_F02_D178N_0.1.png,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_F02_D178N_0.1.svg,/mnt/c/Projects/prnp-somatic/results/ddPCR/scatterplots/lod_experiments/individual_wells/2020-09-11_D178N_F02_D178N_0.1.pdf
