method_id,method_family,assay,n_biological_samples,n_detected_lob,n_detected_lod,n_failed
bayesian_control_mixture_hard_map,bayesian,D178N,213,1,0,0
bayesian_control_mixture_hard_map,bayesian,E200K,238,6,6,0
bayesian_control_mixture_hard_map,bayesian,P102L,248,0,0,0
bayesian_control_mixture_weighted,bayesian,D178N,213,0,0,0
bayesian_control_mixture_weighted,bayesian,E200K,238,7,6,0
bayesian_control_mixture_weighted,bayesian,P102L,248,0,0,0
current_json_quanta_gating,current,D178N,213,5,0,0
current_json_quanta_gating,current,E200K,238,21,9,0
current_json_quanta_gating,current,P102L,248,25,0,0
dPCP_control_projected,dPCP,D178N,213,39,41,0
dPCP_control_projected,dPCP,E200K,238,32,19,0
dPCP_control_projected,dPCP,P102L,248,8,0,0
dPCP_native,dPCP,D178N,20,12,20,0
ddPCRclust_control_projected,ddPCRclust,D178N,213,39,41,0
ddPCRclust_control_projected,ddPCRclust,E200K,238,32,19,0
ddPCRclust_control_projected,ddPCRclust,P102L,248,8,0,0
ddPCRclust_template_fast,ddPCRclust,D178N,165,5,3,0
ddPCRclust_template_fast,ddPCRclust,E200K,232,10,8,0
ddPCRclust_template_fast,ddPCRclust,P102L,237,6,0,0
ddPCRclust_template_native,ddPCRclust,D178N,133,7,3,0
ddPCRclust_template_native,ddPCRclust,E200K,155,11,8,0
ddPCRclust_template_native,ddPCRclust,P102L,184,41,0,0
ddpcRquant_0995,ddpcRquant,D178N,213,71,209,0
ddpcRquant_0995,ddpcRquant,E200K,238,93,98,0
ddpcRquant_0995,ddpcRquant,P102L,248,0,0,0
ddpcRquant_0999,ddpcRquant,D178N,213,71,209,0
ddpcRquant_0999,ddpcRquant,E200K,238,93,182,0
ddpcRquant_0999,ddpcRquant,P102L,248,0,1,0
ddpcRquant_09995,ddpcRquant,D178N,213,70,209,0
ddpcRquant_09995,ddpcRquant,E200K,238,90,182,0
ddpcRquant_09995,ddpcRquant,P102L,248,14,2,0
definetherain_channel_combined,definetherain,D178N,213,32,38,0
definetherain_channel_combined,definetherain,E200K,238,82,150,0
definetherain_channel_combined,definetherain,P102L,248,5,1,0
polygon_control_hull_gates,polygon_gates,D178N,213,32,34,0
polygon_control_hull_gates,polygon_gates,E200K,238,28,11,0
polygon_control_hull_gates,polygon_gates,P102L,248,12,0,0
twoddpcr_kmeans_control_centres,twoddpcr,D178N,213,45,143,0
twoddpcr_kmeans_control_centres,twoddpcr,E200K,238,137,194,0
twoddpcr_kmeans_control_centres,twoddpcr,P102L,248,12,1,0
twoddpcr_kmeans_control_mah_rain,twoddpcr,D178N,213,45,143,0
twoddpcr_kmeans_control_mah_rain,twoddpcr,E200K,238,136,194,0
twoddpcr_kmeans_control_mah_rain,twoddpcr,P102L,248,12,1,0
twoddpcr_kmeans_native,twoddpcr,D178N,211,37,134,0
twoddpcr_kmeans_native,twoddpcr,E200K,189,79,151,0
twoddpcr_kmeans_native,twoddpcr,P102L,248,45,44,0
twoddpcr_kmeans_native_mah_rain,twoddpcr,D178N,211,37,134,0
twoddpcr_kmeans_native_mah_rain,twoddpcr,E200K,189,79,151,0
twoddpcr_kmeans_native_mah_rain,twoddpcr,P102L,248,45,44,0
twoddpcr_knn_k11,twoddpcr,D178N,213,18,8,0
twoddpcr_knn_k11,twoddpcr,E200K,238,29,30,0
twoddpcr_knn_k11,twoddpcr,P102L,248,5,2,0
twoddpcr_knn_k11_mah_rain,twoddpcr,D178N,213,16,8,0
twoddpcr_knn_k11_mah_rain,twoddpcr,E200K,238,33,28,0
twoddpcr_knn_k11_mah_rain,twoddpcr,P102L,248,5,1,0
twoddpcr_knn_k21,twoddpcr,D178N,213,8,2,0
twoddpcr_knn_k21,twoddpcr,E200K,238,30,29,0
twoddpcr_knn_k21,twoddpcr,P102L,248,3,2,0
twoddpcr_knn_k21_mah_rain,twoddpcr,D178N,213,11,2,0
twoddpcr_knn_k21_mah_rain,twoddpcr,E200K,238,34,26,0
twoddpcr_knn_k21_mah_rain,twoddpcr,P102L,248,3,1,0
twoddpcr_knn_k3,twoddpcr,D178N,213,49,32,0
twoddpcr_knn_k3,twoddpcr,E200K,238,32,47,0
twoddpcr_knn_k3,twoddpcr,P102L,248,11,5,0
twoddpcr_knn_k3_mah_rain,twoddpcr,D178N,213,51,32,0
twoddpcr_knn_k3_mah_rain,twoddpcr,E200K,238,36,46,0
twoddpcr_knn_k3_mah_rain,twoddpcr,P102L,248,11,4,0
twoddpcr_knn_k5,twoddpcr,D178N,213,25,9,0
twoddpcr_knn_k5,twoddpcr,E200K,238,31,45,0
twoddpcr_knn_k5,twoddpcr,P102L,248,10,5,0
twoddpcr_knn_k5_mah_rain,twoddpcr,D178N,213,25,10,0
twoddpcr_knn_k5_mah_rain,twoddpcr,E200K,238,35,44,0
twoddpcr_knn_k5_mah_rain,twoddpcr,P102L,248,10,4,0
