run_id,assay,well,sample,sample_type,sample_key,run_date,source_peak_data_json,source_peak_metadata_json,method_id,method_variant,n_total_droplets,n_accepted_droplets,n_nn,n_wt_only,n_mut_only,n_double_positive,n_rain,n_unclassified,n_mut_expected,n_wt_expected,classification_status,classification_message,method_parameters_json
2020-10-12_SNV_D178N,D178N,A01,NTC_D178N,NTC,ntc,2020-10-12,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-12/SNV_D178N/PeakData/A01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-12/SNV_D178N/PeakMetaData/A01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,15305,15304,15150,0,154,0,1,0,154,0,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-12_SNV_D178N,D178N,A07,CJD15-1_fr_D178N,biological_sample,15_1_fr,2020-10-12,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-12/SNV_D178N/PeakData/A07.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-12/SNV_D178N/PeakMetaData/A07.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,17133,17071,4645,12406,6,14,62,0,20,12420,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-12_SNV_D178N,D178N,B01,WT_D178N,WT_control,wt,2020-10-12,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-12/SNV_D178N/PeakData/B01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-12/SNV_D178N/PeakMetaData/B01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,13319,13150,1277,11846,21,6,169,0,27,11852,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-12_SNV_D178N,D178N,B04,CJD15-27_cb_D178N,biological_sample,15_27_cb,2020-10-12,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-12/SNV_D178N/PeakData/B04.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-12/SNV_D178N/PeakMetaData/B04.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,14872,14827,6848,7949,11,19,45,0,30,7968,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-12_SNV_D178N,D178N,C01,Mut_D178N,positive_control,mut,2020-10-12,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-12/SNV_D178N/PeakData/C01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-12/SNV_D178N/PeakMetaData/C01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,15700,15620,11236,1990,2072,322,80,0,2394,2312,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-12_SNV_D178N,D178N,C04,CJD15-27_fr_D178N,biological_sample,15_27_fr,2020-10-12,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-12/SNV_D178N/PeakData/C04.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-12/SNV_D178N/PeakMetaData/C04.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,13022,12895,2427,10436,28,4,127,0,32,10440,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,A01,NTC_D178N,NTC,ntc,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/A01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/A01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,10394,10392,10390,0,2,0,2,0,2,0,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,A03,CJD18-6_bg_D178N,biological_sample,18_6_bg,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/A03.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/A03.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,14022,13936,2353,11566,9,8,86,0,17,11574,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,A05,CJD18-17_bg_D178N,biological_sample,18_17_bg,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/A05.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/A05.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,11938,11541,1110,10279,132,20,397,0,152,10299,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,A07,CJD18-24_bg_D178N,biological_sample,18_24_bg,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/A07.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/A07.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,13793,12615,2708,8413,1477,17,1178,0,1494,8430,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
