method_id,method_variant,assay,run_id,status,message,elapsed_seconds,method_parameters_json
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2020-10-12_SNV_D178N,ok,NA,0.20199999999999818,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2020-10-15_SNV_D178N,ok,NA,0.340999999999994,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2020-10-22_SNV_D178N,ok,NA,0.3359999999999843,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2020-10-29_SNV_D178N,ok,NA,0.38299999999998136,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2020-11-05_SNV_D178N,ok,NA,0.3400000000000034,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2020-11-24_SNV_D178N,ok,NA,0.2600000000000193,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2021-01-26_SNV_D178N,ok,NA,0.3689999999999998,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2021-02-17_SNV_D178N,ok,NA,0.41500000000002046,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2021-03-29_SNV_D178N,ok,NA,0.41900000000003956,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2021-04-06_SNV_D178N,ok,NA,0.3120000000000118,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2021-05-10_SNV_D178N,ok,NA,0.36000000000001364,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2021-05-20_SNV_D178N,ok,NA,0.4140000000000441,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,D178N,2021-10-14_SNV_D178N,ok,NA,0.1169999999999618,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2020-10-12_SNV_E200K,ok,NA,0.13599999999996726,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2020-10-15_SNV_E200K,ok,NA,0.30000000000001137,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2020-10-22_SNV_E200K,ok,NA,0.32200000000000273,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2020-10-29_SNV_E200K,ok,NA,0.36299999999999955,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2020-11-05_SNV_E200K,ok,NA,0.3790000000000191,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2020-11-24_SNV_E200K,ok,NA,0.2459999999999809,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2021-01-26_SNV_E200K,ok,NA,0.4219999999999118,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2021-02-17_SNV_E200K,ok,NA,0.2480000000000473,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2021-02-18_SNV_E200K,ok,NA,0.3089999999999691,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2021-03-29_SNV_E200K,ok,NA,0.42799999999999727,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2021-04-06_SNV_E200K,ok,NA,0.3550000000000182,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2021-05-10_SNV_E200K,ok,NA,0.6059999999999945,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2021-05-20_SNV_E200K,ok,NA,0.4679999999999609,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,E200K,2021-10-25_SNV_E200K,ok,NA,0.05700000000001637,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,P102L,2020-12-01_SNV_P102L,ok,NA,0.6419999999999391,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,P102L,2021-01-26_SNV_P102L,ok,NA,0.3069999999999027,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,P102L,2021-01-28_SNV_P102L,ok,NA,0.2699999999999818,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,P102L,2021-02-02_SNV_P102L,ok,NA,0.7069999999999936,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,P102L,2021-02-17_SNV_P102L,ok,NA,0.39999999999997726,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,P102L,2021-02-18_SNV_P102L,ok,NA,0.39800000000002456,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,P102L,2021-03-05_SNV_P102L,ok,NA,0.2059999999999036,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,P102L,2021-03-29_SNV_P102L,ok,NA,0.30299999999999727,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,P102L,2021-04-06_SNV_P102L,ok,NA,0.26500000000010004,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,P102L,2021-05-10_SNV_P102L,ok,NA,0.3020000000001346,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,P102L,2021-05-20_SNV_P102L,ok,NA,0.38400000000001455,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_centres,k-means initialised from control geometry,P102L,2021-10-14_SNV_P102L,ok,NA,0.08399999999983265,"{""centres"":""control_geometry""}"
twoddpcr_kmeans_control_mah_rain,control-centred k-means plus control-derived Mahalanobis rain distances,D178N,2020-10-12_SNV_D178N,ok,NA,0.2749999999999915,"{""base_classifier"":""twoddpcr_kmeans_control_centres"",""max_distances"":{""NN"":33.4199,""NP"":52.7392,""PN"":13.3672,""PP"":13.1186}}"
twoddpcr_kmeans_control_mah_rain,control-centred k-means plus control-derived Mahalanobis rain distances,D178N,2020-10-15_SNV_D178N,ok,NA,0.6710000000000065,"{""base_classifier"":""twoddpcr_kmeans_control_centres"",""max_distances"":{""NN"":33.4199,""NP"":52.7392,""PN"":13.3672,""PP"":13.1186}}"
twoddpcr_kmeans_control_mah_rain,control-centred k-means plus control-derived Mahalanobis rain distances,D178N,2020-10-22_SNV_D178N,ok,NA,0.6160000000000139,"{""base_classifier"":""twoddpcr_kmeans_control_centres"",""max_distances"":{""NN"":33.4199,""NP"":52.7392,""PN"":13.3672,""PP"":13.1186}}"
twoddpcr_kmeans_control_mah_rain,control-centred k-means plus control-derived Mahalanobis rain distances,D178N,2020-10-29_SNV_D178N,ok,NA,0.7669999999999959,"{""base_classifier"":""twoddpcr_kmeans_control_centres"",""max_distances"":{""NN"":33.4199,""NP"":52.7392,""PN"":13.3672,""PP"":13.1186}}"
twoddpcr_kmeans_control_mah_rain,control-centred k-means plus control-derived Mahalanobis rain distances,D178N,2020-11-05_SNV_D178N,ok,NA,0.61099999999999,"{""base_classifier"":""twoddpcr_kmeans_control_centres"",""max_distances"":{""NN"":33.4199,""NP"":52.7392,""PN"":13.3672,""PP"":13.1186}}"
twoddpcr_kmeans_control_mah_rain,control-centred k-means plus control-derived Mahalanobis rain distances,D178N,2020-11-24_SNV_D178N,ok,NA,0.5380000000000109,"{""base_classifier"":""twoddpcr_kmeans_control_centres"",""max_distances"":{""NN"":33.4199,""NP"":52.7392,""PN"":13.3672,""PP"":13.1186}}"
