Sample	Total	Primary	Secondary	Supplementary	Duplicates	PrimaryDuplicates	Mapped	PrimaryMapped	Paired	Read1	Read2	ProperlyPaired	WithItselfAndMateMapped	Singletons	WithMateDifferentChr	WithMateDifferentChrMapQ5
A100_1to2_bwa	3720278	3513140	0	207138	1922460	1922460	3613017	3405879	3513140	1756570	1756570	3154524	3385928	19951	137524	37231
A100_1to2_orig	4134287	3910506	0	223781	2167756	2167756	3841523	3617742	3910506	1955253	1955253	3398828	3569186	48556	66070	13247
NA100_1to10_bwa	4186862	4098528	0	88334	2908755	2908755	4107130	4018796	4098528	2049264	2049264	3893404	4006308	12488	65570	19201
NA100_1to10_orig	4737229	4640524	0	96705	3327325	3327325	4537825	4441120	4640524	2320262	2320262	4293096	4411358	29762	34666	7164
NA100_1to2_bwa	3522281	3343706	0	178575	2075590	2075590	3375494	3196919	3343706	1671853	1671853	2937384	3166806	30113	138698	39538
NA100_1to2_orig	4134287	3910506	0	223781	2167756	2167756	3841523	3617742	3910506	1955253	1955253	3398828	3569186	48556	66070	13247
NA100_undil_bwa	2432796	2314258	0	118538	1057352	1057352	2341526	2222988	2314258	1157129	1157129	2071062	2210366	12622	81218	22670
NA100_undil_orig	2640069	2513508	0	126561	1158576	1158576	2400106	2273545	2513508	1256754	1256754	2138430	2244352	29193	39390	7734
NA995A05_undil_bwa	5213077	4947238	0	265839	2494886	2494886	5017259	4751420	4947238	2473619	2473619	4404094	4720226	31194	183742	53769
NA995A05_undil_orig	5764896	5484766	0	280130	2777102	2777102	5242739	4962609	5484766	2742383	2742383	4637012	4887112	75497	89292	18951
NA99A1_1to5_bwa	5008652	4500772	0	507880	1776191	1776191	4630798	4122918	4500772	2250386	2250386	3422548	4048750	74168	378150	107052
NA99A1_1to5_orig	5473804	4940654	0	533150	1935926	1935926	4607579	4074429	4940654	2470327	2470327	3555250	3924026	150403	192660	37624
NA99A1_undil_bwa	3396646	3265286	0	131360	2046406	2046406	3278404	3147044	3265286	1632643	1632643	2965052	3129098	17946	97266	27309
NA99A1_undil_orig	3722765	3582632	0	140133	2246932	2246932	3420708	3280575	3582632	1791316	1791316	3109532	3241194	39381	49720	10239
