sample	rname	n_frags	n_reads	n_starts	plus_frags	minus_frags	denom_frags	JPHK
CJD1	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	213490	0
CJD1	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	213490	0
CJD1	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	213490	0
CJD11	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	190197	0
CJD11	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	190197	0
CJD11	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	190197	0
CJD12	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	44388	0
CJD12	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	44388	0
CJD12	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	44388	0
CJD13	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	222412	0
CJD13	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	222412	0
CJD13	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	222412	0
CJD14	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	2768	0
CJD14	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	2768	0
CJD14	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	2768	0
CJD15	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	3764	0
CJD15	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	3764	0
CJD15	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	3764	0
CJD18	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	3742	0
CJD18	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	3742	0
CJD18	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	3742	0
CJD19	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	20940	0
CJD19	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	20940	0
CJD19	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	20940	0
CJD2	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	206795	0
CJD2	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	206795	0
CJD2	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	206795	0
CJD21	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	127299	0
CJD21	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	127299	0
CJD21	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	127299	0
CJD22	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	145803	0
CJD22	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	145803	0
CJD22	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	145803	0
CJD23	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	281304	0
CJD23	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	281304	0
CJD23	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	281304	0
CJD24	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	4017	0
CJD24	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	4017	0
CJD24	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	4017	0
CJD25	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	164245	0
CJD25	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	164245	0
CJD25	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	164245	0
CJD26	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	23842	0
CJD26	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	23842	0
CJD26	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	23842	0
CJD27	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	285734	0
CJD27	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	285734	0
CJD27	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	285734	0
CJD28	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	12800	0
CJD28	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	12800	0
CJD28	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	12800	0
CJD29	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	20460	0
CJD29	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	20460	0
CJD29	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	20460	0
CJD3	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	252607	0
CJD3	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	252607	0
CJD3	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	252607	0
CJD30	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	14883	0
CJD30	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	14883	0
CJD30	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	14883	0
CJD31	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	3289	0
CJD31	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	3289	0
CJD31	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	3289	0
CJD4	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	154730	0
CJD4	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	154730	0
CJD4	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	154730	0
CJD5	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	3320	0
CJD5	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	3320	0
CJD5	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	3320	0
CJD6	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	293134	0
CJD6	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	293134	0
CJD6	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	293134	0
CJD7	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	154603	0
CJD7	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	154603	0
CJD7	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	154603	0
CJD8	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	6623	0
CJD8	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	6623	0
CJD8	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	6623	0
Ctrl1	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	171292	0
Ctrl1	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	171292	0
Ctrl1	PRNP|ENST00000457586|exon1_exon2	0	0	0	0	0	171292	0
Ctrl2	PRNP|ENST00000379440|exon1_exon2	0	0	0	0	0	72822	0
Ctrl2	PRNP|ENST00000430350|exon1_exon2	0	0	0	0	0	72822	0
