sample	unmapped_aln	secondary_aln	supplementary_aln	duplicate_aln	primary_nondup_mapped_aln	mapq_ge20_aln	junction_overhang10_reads
CJD1	415526.00	0.00	0.00	0.00	9658.00	4054.00	0.00
CJD2	402153.00	0.00	0.00	0.00	9665.00	4085.00	0.00
CJD3	493538.00	0.00	0.00	0.00	9266.00	2607.00	0.00
CJD4	302208.00	0.00	0.00	0.00	5238.00	1378.00	0.00
CJD5	6338.00	0.00	0.00	0.00	262.00	29.00	0.00
CJD6	557003.00	0.00	0.00	0.00	23921.00	8662.00	0.00
CJD7	301273.00	0.00	0.00	0.00	6583.00	2015.00	0.00
CJD8	12528.00	0.00	0.00	0.00	642.00	117.00	0.00
CJD11	369345.00	0.00	0.00	0.00	8411.00	3138.00	0.00
CJD12	86855.00	0.00	0.00	0.00	1733.00	446.00	0.00
CJD13	433575.00	0.00	0.00	0.00	9797.00	3691.00	0.00
CJD14	5394.00	0.00	0.00	0.00	118.00	26.00	0.00
CJD15	7328.00	0.00	0.00	0.00	186.00	32.00	0.00
CJD18	7307.00	0.00	0.00	0.00	151.00	31.00	0.00
CJD19	40393.00	0.00	0.00	0.00	1331.00	260.00	0.00
CJD21	248040.00	0.00	0.00	0.00	6008.00	1702.00	0.00
CJD22	272388.00	0.00	0.00	0.00	15256.00	7605.00	0.00
CJD23	543685.00	0.00	0.00	0.00	16299.00	5868.00	0.00
CJD24	7424.00	0.00	0.00	0.00	520.00	131.00	0.00
CJD25	286523.00	0.00	0.00	0.00	27999.00	13593.00	0.00
CJD26	46850.00	0.00	0.00	0.00	804.00	153.00	0.00
CJD27	548038.00	0.00	0.00	0.00	18634.00	8458.00	0.00
CJD28	24782.00	0.00	0.00	0.00	764.00	110.00	0.00
CJD29	38632.00	0.00	0.00	0.00	2118.00	565.00	0.00
CJD30	28618.00	0.00	0.00	0.00	1098.00	221.00	0.00
CJD31	6338.00	0.00	0.00	0.00	216.00	35.00	0.00
Control1	320224.00	0.00	0.00	0.00	18782.00	8339.00	0.00
Control2	141353.00	0.00	0.00	0.00	3705.00	979.00	0.00
Control3	342382.00	0.00	0.00	0.00	8362.00	3488.00	0.00
Control4	20425.00	0.00	0.00	0.00	805.00	179.00	0.00
Control5	257019.00	0.00	0.00	0.00	8957.00	3504.00	0.00
Control7	23691.00	0.00	0.00	0.00	793.00	160.00	0.00
