sample	prnp_total_frags	prnp_total_reads	prnp_total_starts	prnp_plus_frags	prnp_minus_frags	denom_frags	prnp_JPHK_total	n_junctions_pos	passes_min_frags	passes_strand	passes_dispersion	passes_all
CJD1	0	0	0	0	0	213490	0	0	FALSE	FALSE	FALSE	FALSE
CJD11	0	0	0	0	0	190197	0	0	FALSE	FALSE	FALSE	FALSE
CJD12	0	0	0	0	0	44388	0	0	FALSE	FALSE	FALSE	FALSE
CJD13	0	0	0	0	0	222412	0	0	FALSE	FALSE	FALSE	FALSE
CJD14	0	0	0	0	0	2768	0	0	FALSE	FALSE	FALSE	FALSE
CJD15	0	0	0	0	0	3764	0	0	FALSE	FALSE	FALSE	FALSE
CJD18	0	0	0	0	0	3742	0	0	FALSE	FALSE	FALSE	FALSE
CJD19	0	0	0	0	0	20940	0	0	FALSE	FALSE	FALSE	FALSE
CJD2	0	0	0	0	0	206795	0	0	FALSE	FALSE	FALSE	FALSE
CJD21	0	0	0	0	0	127299	0	0	FALSE	FALSE	FALSE	FALSE
CJD22	0	0	0	0	0	145803	0	0	FALSE	FALSE	FALSE	FALSE
CJD23	0	0	0	0	0	281304	0	0	FALSE	FALSE	FALSE	FALSE
CJD24	0	0	0	0	0	4017	0	0	FALSE	FALSE	FALSE	FALSE
CJD25	0	0	0	0	0	164245	0	0	FALSE	FALSE	FALSE	FALSE
CJD26	0	0	0	0	0	23842	0	0	FALSE	FALSE	FALSE	FALSE
CJD27	0	0	0	0	0	285734	0	0	FALSE	FALSE	FALSE	FALSE
CJD28	0	0	0	0	0	12800	0	0	FALSE	FALSE	FALSE	FALSE
CJD29	0	0	0	0	0	20460	0	0	FALSE	FALSE	FALSE	FALSE
CJD3	0	0	0	0	0	252607	0	0	FALSE	FALSE	FALSE	FALSE
CJD30	0	0	0	0	0	14883	0	0	FALSE	FALSE	FALSE	FALSE
CJD31	0	0	0	0	0	3289	0	0	FALSE	FALSE	FALSE	FALSE
CJD4	0	0	0	0	0	154730	0	0	FALSE	FALSE	FALSE	FALSE
CJD5	0	0	0	0	0	3320	0	0	FALSE	FALSE	FALSE	FALSE
CJD6	0	0	0	0	0	293134	0	0	FALSE	FALSE	FALSE	FALSE
CJD7	0	0	0	0	0	154603	0	0	FALSE	FALSE	FALSE	FALSE
CJD8	0	0	0	0	0	6623	0	0	FALSE	FALSE	FALSE	FALSE
Ctrl1	0	0	0	0	0	171292	0	0	FALSE	FALSE	FALSE	FALSE
Ctrl2	0	0	0	0	0	72822	0	0	FALSE	FALSE	FALSE	FALSE
Ctrl3	0	0	0	0	0	176787	0	0	FALSE	FALSE	FALSE	FALSE
Ctrl4	0	0	0	0	0	10674	0	0	FALSE	FALSE	FALSE	FALSE
Ctrl5	0	0	0	0	0	133682	0	0	FALSE	FALSE	FALSE	FALSE
Ctrl7	0	0	0	0	0	12301	0	0	FALSE	FALSE	FALSE	FALSE
