sample_id	group	vcf_interpretation	locus_coverage	spanning_counts	spanning_total_reads	spanning_reference_reads	spanning_contraction_like_reads	spanning_expansion_like_reads	spanning_contraction_like_fraction	spanning_expansion_like_fraction	top_spanning_expansion_like_repeat_count	top_spanning_expansion_like_read_count	flanking_counts	flanking_total_reads	flanking_reference_reads	flanking_contraction_like_reads	flanking_expansion_like_reads	flanking_contraction_like_fraction	flanking_expansion_like_fraction	top_flanking_expansion_like_repeat_count	top_flanking_expansion_like_read_count	inrepeat_counts	inrepeat_total_reads	inrepeat_reference_reads	inrepeat_contraction_like_reads	inrepeat_expansion_like_reads
CJD25	cjd	reference	41619.042056	0:11,1:53,2:56542,3:20	56626	56542	64	20	0.00113022	0.00035319	3	20	1:28115,2:33538,3:158,4:12,5:15,6:1	61839	33538	28115	186	0.45464836	0.00300781	3	158	3:1	1	0	0	1
CJD4	cjd	reference	13453.168831	1:15,2:5282,4:4,5:6	5307	5282	15	10	0.00282646	0.00188430	5	6	1:2904,2:3014,3:13,5:1	5932	3014	2904	14	0.48954821	0.00236008	3	13		0	0	0	0
CJD6	cjd	reference	43784.880062	0:3,1:41,2:24464,3:8,4:1	24517	24464	44	9	0.00179467	0.00036709	3	8	1:14508,2:16237,3:85,4:4,5:6	30840	16237	14508	95	0.47042802	0.00308042	3	85		0	0	0	0
CJD22	cjd	reference	33045.507788	0:1,1:35,2:18715,3:7	18758	18715	36	7	0.00191918	0.00037317	3	7	1:11725,2:12700,3:88,4:8	24521	12700	11725	96	0.47816158	0.00391501	3	88	3:1	1	0	0	1
CJD27	cjd	reference	51992.103323	0:3,1:38,2:26597,3:7	26645	26597	41	7	0.00153875	0.00026271	3	7	1:15459,2:16664,3:49,4:3,5:2	32177	16664	15459	54	0.48043634	0.00167822	3	49	2:8,4:5	13	8	0	5
Ctrl5	control	reference	8508.155844	0:1,1:11,2:5500,3:5	5517	5500	12	5	0.00217510	0.00090629	3	5	1:3123,2:3309,3:20,4:1,5:1	6454	3309	3123	22	0.48388596	0.00340874	3	20		0	0	0	0
CJD13	cjd	reference	16214.851506	1:6,2:7640,3:5	7651	7640	6	5	0.00078421	0.00065351	3	5	1:4548,2:4731,3:22,4:2,5:1	9304	4731	4548	25	0.48882201	0.00268702	3	22	2:1	1	1	0	0
CJD23	cjd	reference	24359.454545	1:23,2:11968,3:4,5:1	11996	11968	23	5	0.00191731	0.00041681	3	4	1:6988,2:7500,3:46,4:9,5:2	14545	7500	6988	57	0.48044001	0.00391887	3	46	5:1	1	0	0	1
CJD3	cjd	reference	14818.051948	1:4,2:6159,3:2,5:1	6166	6159	4	3	0.00064872	0.00048654	3	2	1:3604,2:3892,3:35,4:4,5:4,6:1	7540	3892	3604	44	0.47798408	0.00583554	3	35		0	0	0	0
CJD31	cjd	reference	161.300623	1:1,2:79,3:1	81	79	1	1	0.01234568	0.01234568	3	1	1:62,2:76,3:1	139	76	62	1	0.44604317	0.00719424	3	1		0	0	0	0
CJD28	cjd	reference	578.516096	2:242,3:1	243	242	0	1	0.00000000	0.00411523	3	1	1:179,2:189	368	189	179	0	0.48641304	0.00000000				0	0	0	0
CJD30	cjd	reference	670.035826	2:399,3:1	400	399	0	1	0.00000000	0.00250000	3	1	1:251,2:282,3:2	535	282	251	2	0.46915888	0.00373832	3	2		0	0	0	0
Ctrl2	control	reference	4079.922078	0:1,1:5,2:1857,4:1	1864	1857	6	1	0.00321888	0.00053648	4	1	1:1029,2:1095,3:4	2128	1095	1029	4	0.48355263	0.00187970	3	4		0	0	0	0
CJD21	cjd	reference	6167.331256	0:1,1:3,2:2963,5:1	2968	2963	4	1	0.00134771	0.00033693	5	1	1:1905,2:2025,3:9	3939	2025	1905	9	0.48362529	0.00228484	3	9		0	0	0	0
CJD11	cjd	reference	10085.298701	1:15,2:5021,5:1	5037	5021	15	1	0.00297796	0.00019853	5	1	1:2798,2:3071,3:8,5:1	5878	3071	2798	9	0.47601225	0.00153113	3	8	1:1	1	0	1	0
CJD2	cjd	reference	18573.708723	0:4,1:8,2:8926,3:1	8939	8926	12	1	0.00134243	0.00011187	3	1	1:5176,2:5994,3:27,4:1	11198	5994	5176	28	0.46222540	0.00250045	3	27		0	0	0	0
Ctrl1	control	reference	22510.987013	0:3,1:22,2:16084,3:1	16110	16084	25	1	0.00155183	0.00006207	3	1	1:8729,2:9660,3:43,4:7,5:9	18448	9660	8729	59	0.47316782	0.00319818	3	43	1:1	1	0	1	0
CJD1	cjd	reference	20069.064935	0:6,1:14,2:8503	8523	8503	20	0	0.00234659	0.00000000			1:5403,2:5855,3:12	11270	5855	5403	12	0.47941437	0.00106477	3	12		0	0	0	0
CJD12	cjd	reference	1367.767394	2:629	629	629	0	0	0.00000000	0.00000000			1:412,2:403	815	403	412	0	0.50552147	0.00000000				0	0	0	0
CJD14	cjd	reference	75.660436	2:34	34	34	0	0	0.00000000	0.00000000			1:29,2:33	62	33	29	0	0.46774194	0.00000000				0	0	0	0
CJD15	cjd	reference	113.722741	2:65	65	65	0	0	0.00000000	0.00000000			1:52,2:39	91	39	52	0	0.57142857	0.00000000				0	0	0	0
CJD18	cjd	reference	126.332814	2:66	66	66	0	0	0.00000000	0.00000000			1:41,2:47	88	47	41	0	0.46590909	0.00000000				0	0	0	0
CJD19	cjd	reference	952.950156	2:479	479	479	0	0	0.00000000	0.00000000			1:331,2:329,3:1	661	329	331	1	0.50075643	0.00151286	3	1		0	0	0	0
CJD24	cjd	reference	244.465213	2:347	347	347	0	0	0.00000000	0.00000000			1:152,2:194,5:1	347	194	152	1	0.43804035	0.00288184	5	1		0	0	0	0
CJD26	cjd	reference	662.995846	1:1,2:287	288	287	1	0	0.00347222	0.00000000			1:195,2:203	398	203	195	0	0.48994975	0.00000000				0	0	0	0
CJD29	cjd	reference	1219.927830	0:1,1:1,2:868	870	868	2	0	0.00229885	0.00000000			1:484,2:553,4:2	1039	553	484	2	0.46583253	0.00192493	4	2		0	0	0	0
CJD5	cjd	reference	179.480789	2:155	155	155	0	0	0.00000000	0.00000000			1:68,2:88,3:1,5:1	158	88	68	2	0.43037975	0.01265823	5	1		0	0	0	0
CJD7	cjd	reference	6490.051948	2:3262	3262	3262	0	0	0.00000000	0.00000000			1:1772,2:2004,3:9,5:1,7:2	3788	2004	1772	12	0.46779303	0.00316790	3	9		0	0	0	0
CJD8	cjd	reference	378.793980	2:254	254	254	0	0	0.00000000	0.00000000			1:140,2:165,3:1	306	165	140	1	0.45751634	0.00326797	3	1		0	0	0	0
Ctrl3	control	reference	14900.415584	0:1,1:2,2:6613	6616	6613	3	0	0.00045345	0.00000000			1:3947,2:4331,3:18,4:1	8297	4331	3947	19	0.47571411	0.00228998	3	18		0	0	0	0
Ctrl4	control	reference	547.300467	2:301	301	301	0	0	0.00000000	0.00000000			1:189,2:205	394	205	189	0	0.47969543	0.00000000				0	0	0	0
Ctrl7	control	reference	551.593977	2:304	304	304	0	0	0.00000000	0.00000000			1:164,2:201,3:1	366	201	164	1	0.44808743	0.00273224	3	1		0	0	0	0
