assay,run_id,well,sample,sample_type,well_nn_ch1,well_nn_ch2,n_nn,reference_nn_ch1,reference_nn_ch2,shift_ch1,shift_ch2
D178N,2020-10-12_SNV_D178N,A01,NTC_D178N,NTC,617.7973025,1844.81018,14654,294.2197195,1395.815245,-323.577583,-448.99493499999994
D178N,2020-10-12_SNV_D178N,B01,WT_D178N,WT_control,516.1115,1651.62146,977,294.2197195,1395.815245,-221.89178049999998,-255.80621500000007
D178N,2020-10-12_SNV_D178N,C01,Mut_D178N,positive_control,527.8413184999999,1678.6810300000002,9936,294.2197195,1395.815245,-233.62159899999995,-282.8657850000002
D178N,2020-10-15_SNV_D178N,A01,NTC_D178N,NTC,447.11305000000004,1531.53534,9650,294.2197195,1395.815245,-152.89333050000005,-135.7200949999999
D178N,2020-10-15_SNV_D178N,B01,WT_D178N,WT_control,558.676941,1819.33508,319,294.2197195,1395.815245,-264.45722150000006,-423.51983500000006
D178N,2020-10-15_SNV_D178N,C01,Mut_D178N,positive_control,517.1274,1556.99866,2895,294.2197195,1395.815245,-222.90768049999997,-161.18341499999997
D178N,2020-10-22_SNV_D178N,A01,NTC_E200K,NTC,508.830536,1648.76025,13959,294.2197195,1395.815245,-214.6108165,-252.94500500000004
D178N,2020-10-22_SNV_D178N,B01,WT_D178N,WT_control,493.71258650000004,1709.3543100000002,1850,294.2197195,1395.815245,-199.49286700000005,-313.53906500000016
D178N,2020-10-22_SNV_D178N,C01,D178N-mut,positive_control,529.31335,1709.167295,11746,294.2197195,1395.815245,-235.09363050000002,-313.35204999999996
D178N,2020-10-29_SNV_D178N,F01,NTC,NTC,262.894958,1181.83887,14437,294.2197195,1395.815245,31.324761500000022,213.97637499999996
D178N,2020-10-29_SNV_D178N,G01,WT,WT_control,375.7449,861.7161,117,294.2197195,1395.815245,-81.52518049999998,534.099145
D178N,2020-10-29_SNV_D178N,H01,D178N-mut,positive_control,212.649414,1233.15808,13479,294.2197195,1395.815245,81.57030549999999,162.65716500000008
D178N,2020-11-05_SNV_D178N,F01,NTC,NTC,304.692627,1237.931,14931,294.2197195,1395.815245,-10.47290750000002,157.88424499999996
D178N,2020-11-05_SNV_D178N,G01,WT,WT_control,292.6647855,1329.4220850000002,356,294.2197195,1395.815245,1.554934000000003,66.39315999999985
D178N,2020-11-05_SNV_D178N,H01,D178N-mut,positive_control,285.984438,1361.6909150000001,13728,294.2197195,1395.815245,8.235281499999985,34.12432999999987
D178N,2020-11-24_SNV_D178N,F01,NTC_D178N,NTC,208.0278095,1191.11957,15474,294.2197195,1395.815245,86.19191000000001,204.69567499999994
D178N,2020-11-24_SNV_D178N,G01,WT_D178N,WT_control,221.154633,1224.76343,1681,294.2197195,1395.815245,73.0650865,171.05181500000003
D178N,2020-11-24_SNV_D178N,H01,D178N_mut,positive_control,217.55794500000002,1229.740055,11850,294.2197195,1395.815245,76.66177449999998,166.07519000000002
D178N,2021-01-26_SNV_D178N,A01,NTC,NTC,203.223022,1141.0863,12583,294.2197195,1395.815245,90.99669750000001,254.72894500000007
D178N,2021-01-26_SNV_D178N,B01,D178N-mut,positive_control,189.1984635,1076.23053,10818,294.2197195,1395.815245,105.021256,319.58471499999996
D178N,2021-01-26_SNV_D178N,C01,WT,WT_control,222.5174,1210.2041,1809,294.2197195,1395.815245,71.70231949999999,185.61114500000008
D178N,2021-02-17_SNV_D178N,A01,NTC,NTC,437.66683950000004,1313.86413,12764,294.2197195,1395.815245,-143.44712000000004,81.95111500000007
D178N,2021-02-17_SNV_D178N,A07,D178N-mut,positive_control,719.2091,1289.15857,16589,294.2197195,1395.815245,-424.98938050000004,106.65667499999995
D178N,2021-02-17_SNV_D178N,B01,WT,WT_control,927.35705599999994,1329.65979,977,294.2197195,1395.815245,-633.1373365,66.15545500000007
D178N,2021-03-29_SNV_D178N,A01,NTC,NTC,324.531799,1437.8743049999998,12332,294.2197195,1395.815245,-30.31207949999998,-42.05905999999982
D178N,2021-03-29_SNV_D178N,B01,WT,WT_control,304.269165,1424.05811,1835,294.2197195,1395.815245,-10.04944549999999,-28.242864999999938
D178N,2021-03-29_SNV_D178N,C01,D178N,positive_control,1785.92493,1390.62244,10859,294.2197195,1395.815245,-1491.7052104999998,5.1928049999999075
D178N,2021-04-06_SNV_D178N,A01,NTC,NTC,289.029419,1528.83191,15691,294.2197195,1395.815245,5.190300499999978,-133.0166650000001
D178N,2021-04-06_SNV_D178N,B01,WT,WT_control,286.55561850000004,1541.5640250000001,4106,294.2197195,1395.815245,7.66410099999996,-145.74878000000012
D178N,2021-04-06_SNV_D178N,C01,D178N,positive_control,274.63696300000004,1476.332765,5738,294.2197195,1395.815245,19.58275649999996,-80.5175200000001
D178N,2021-05-10_SNV_D178N,A01,NTC,NTC,273.329376,1502.99109,13565,294.2197195,1395.815245,20.89034349999997,-107.17584499999998
D178N,2021-05-10_SNV_D178N,B01,WT,WT_control,272.361725,1603.70569,4359,294.2197195,1395.815245,21.857994500000018,-207.890445
D178N,2021-05-10_SNV_D178N,C01,D178N,positive_control,251.355377,1482.39258,4769,294.2197195,1395.815245,42.86434249999999,-86.57733499999995
D178N,2021-05-20_SNV_D178N,A01,NTC,NTC,246.3117755,1536.5124500000002,12312,294.2197195,1395.815245,47.907943999999986,-140.69720500000017
D178N,2021-05-20_SNV_D178N,B01,WT,WT_control,247.51228650000002,1497.456975,2834,294.2197195,1395.815245,46.70743299999998,-101.64173000000005
