assay,target_class,vertex_order,gate_source,n_control_points,n_trimmed_points,min_hull_points,polygon_expansion,ch1_amplitude,ch2_amplitude
D178N,NN,1,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4641.689328415,1384.31619625
D178N,NN,2,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4640.266507015,1321.46696615
D178N,NN,3,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4626.863930715,1278.3236445500002
D178N,NN,4,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4606.584301915001,1230.30127475
D178N,NN,5,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4579.160088415,1183.80102865
D178N,NN,6,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4552.285997915,1139.3754806499999
D178N,NN,7,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4506.060988415001,1082.90239345
D178N,NN,8,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4464.988965915,1039.3617596499998
D178N,NN,9,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4386.860849715001,979.9704743899999
D178N,NN,10,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,3795.9760529150003,651.01214997
D178N,NN,11,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,3519.321472515,562.77659433
D178N,NN,12,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,3019.422848415,450.43492692999996
D178N,NN,13,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,150.02316845500002,259.40898864999986
D178N,NN,14,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,87.30265951499999,331.5481955999999
D178N,NN,15,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,82.40473141499999,340.25516567
D178N,NN,16,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,-95.98305948500001,1933.09295535
D178N,NN,17,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,251.605612415,2423.9131079500003
D178N,NN,18,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,481.31016734499997,2546.62781265
D178N,NN,19,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,762.846936415,2649.56558005
D178N,NN,20,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,830.449956415,2649.94529985
D178N,NN,21,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,1913.2248286150002,2494.7080052499996
D178N,NN,22,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,2973.547462115,2280.77403885
D178N,NN,23,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,3426.4446936150002,2114.48837715
D178N,NN,24,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4517.728828415,1556.64770045
D178N,NN,25,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4571.994378415,1528.62709635
D178N,NN,26,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4608.347198415,1509.59774335
D178N,NN,27,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4633.4524184150005,1485.58567265
D178N,NN,28,control_convex_hull_mahalanobis_trimmed,323408,321790,30,1.03,4637.351998415,1479.16568265
D178N,WT,1,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,11194.69808735,1342.50125115
D178N,WT,2,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,9822.79628235,1073.18592545
D178N,WT,3,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,8630.85247235,842.98042384
D178N,WT,4,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,4297.54256235,520.85013525
D178N,WT,5,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,3291.34380235,555.8161632499999
D178N,WT,6,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,2911.74911645,596.4406445699999
D178N,WT,7,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,2583.8706481499994,643.5584642499999
D178N,WT,8,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,2296.24465195,722.6909581699999
D178N,WT,9,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,2194.60558065,761.50015925
D178N,WT,10,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,2056.62718235,827.03452725
