run_id,assay,well,sample,sample_type,sample_key,mean_max_posterior,median_max_posterior,mean_entropy,posterior_rowsum_min,posterior_rowsum_max,low_confidence_droplets
2020-10-12_SNV_D178N,D178N,A01,NTC_D178N,NTC,ntc,0.9980198347356867,0.9995379848717157,0.009927369882236853,0.9999999999999999,1.0000000000000002,22
2020-10-12_SNV_D178N,D178N,A07,CJD15-1_fr_D178N,biological_sample,15_1_fr,0.9960673434754196,0.999795359327626,0.014137047740836867,0.9999999999999999,1.0000000000000002,80
2020-10-12_SNV_D178N,D178N,B01,WT_D178N,WT_control,wt,0.9913859562598549,0.99972840908445,0.022374538277967936,0.9999999999999999,1.0000000000000002,229
2020-10-12_SNV_D178N,D178N,B04,CJD15-27_cb_D178N,biological_sample,15_27_cb,0.9953531485064177,0.9997274713519972,0.017109048481210868,0.9999999999999999,1.0000000000000002,76
2020-10-12_SNV_D178N,D178N,C01,Mut_D178N,positive_control,mut,0.9701506373349748,0.9998241955047288,0.06709311608804824,0.9999999999999999,1.0000000000000002,979
2020-10-12_SNV_D178N,D178N,C04,CJD15-27_fr_D178N,biological_sample,15_27_fr,0.9945372039863405,0.9993832596027836,0.019397654100424645,0.9999999999999999,1.0000000000000002,103
2020-10-15_SNV_D178N,D178N,A01,NTC_D178N,NTC,ntc,0.9990118987333262,0.9999472074056588,0.0028130870671344062,0.9999999999999999,1.0000000000000002,20
2020-10-15_SNV_D178N,D178N,A03,CJD18-6_bg_D178N,biological_sample,18_6_bg,0.992976595904362,0.9994041122486303,0.02554742704656547,0.9999999999999999,1.0000000000000002,106
2020-10-15_SNV_D178N,D178N,A05,CJD18-17_bg_D178N,biological_sample,18_17_bg,0.9776825299960883,0.9996455999627407,0.05874225132030126,0.9999999999999999,1.0000000000000002,481
2020-10-15_SNV_D178N,D178N,A07,CJD18-24_bg_D178N,biological_sample,18_24_bg,0.9619956892013994,0.9994804387306986,0.08958806496223486,0.9999999999999999,1.0000000000000002,1070
2020-10-15_SNV_D178N,D178N,A09,CJD18-31_bg_D178N,biological_sample,18_31_bg,0.9503821313561918,0.9994416276604161,0.11280627762745617,0.9999999999999999,1.0000000000000002,1365
2020-10-15_SNV_D178N,D178N,B01,WT_D178N,WT_control,wt,0.9879784174594339,0.9993956644703937,0.03675837866200868,0.9999999999999999,1.0000000000000002,184
2020-10-15_SNV_D178N,D178N,B03,CJD18-6_cb_D178N,biological_sample,18_6_cb,0.9765382070764413,0.9997259202871592,0.0565550864029203,0.9999999999999999,1.0000000000000002,703
2020-10-15_SNV_D178N,D178N,B05,CJD18-17_cb_D178N,biological_sample,18_17_cb,0.9778687491661815,0.9997646084191797,0.056885239696554235,0.9999999999999999,1.0000000000000002,509
2020-10-15_SNV_D178N,D178N,B07,CJD18-24_cb_D178N,biological_sample,18_24_cb,0.9761242544567457,0.9993674558980974,0.06426654984915399,0.9999999999999999,1.0000000000000002,571
2020-10-15_SNV_D178N,D178N,B09,CJD18-31_cb_D178N,biological_sample,18_31_cb,0.9609657727664616,0.999182420781696,0.09636438808125485,0.9999999999999999,1.0000000000000002,1155
2020-10-15_SNV_D178N,D178N,C01,Mut_D178N,positive_control,mut,0.9500471903428147,0.9997953993687664,0.1168525897386287,0.9999999999999999,1.0000000000000002,590
2020-10-15_SNV_D178N,D178N,C03,CJD18-6_fr_D178N,biological_sample,18_6_fr,0.9854397668013943,0.9997900367819013,0.03983591572144403,0.9999999999999999,1.0000000000000002,395
2020-10-15_SNV_D178N,D178N,C05,CJD18-17_fr_D178N,biological_sample,18_17_fr,0.9708299738770709,0.9994787915634786,0.0733234683921343,0.9999999999999999,1.0000000000000002,750
2020-10-15_SNV_D178N,D178N,C07,CJD18-24_fr_D178N,biological_sample,18_24_fr,0.9659086920104383,0.9996648695559144,0.08411713784526625,0.9999999999999999,1.0000000000000002,1002
2020-10-15_SNV_D178N,D178N,D03,CJD18-6_hc_D178N,biological_sample,18_6_hc,0.9984823818544353,0.9998150681806399,0.006585000501455225,0.9999999999999999,1.0000000000000002,18
