assay,run_id,well,sample_type,method,status,message,elapsed_seconds,output_excerpt,result_rows
D178N,2020-10-12_SNV_D178N,A01,NTC,runDensity,ok,NA,0.021999999999934516,,15305
D178N,2020-10-12_SNV_D178N,A01,NTC,runPeaks,ok,NA,0.6060000000006767,"        step 0, set the intial seeds, tot.wss=2.1669e+06 |         step 1, do the rough EM, tot.wss=1.51412e+06 at 0.050949 sec |         step 2, do the fine transfer of Hartigan-Wong Algorithm |                  tot.wss=1.48068e+06 at 0.096894 sec",15305
D178N,2020-10-12_SNV_D178N,A01,NTC,runSam,ok,NA,2.6030000000000655,,15305
D178N,2020-10-12_SNV_D178N,B01,WT_control,runDensity,ok,NA,0.31900000000041473,"[1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point.""",13319
D178N,2020-10-12_SNV_D178N,B01,WT_control,runPeaks,ok,NA,4.132999999999811,"        step 0, set the intial seeds, tot.wss=3.49234e+07 |         step 1, do the rough EM, tot.wss=2.32516e+07 at 0.065971 sec |         step 2, do the fine transfer of Hartigan-Wong Algorithm |                  tot.wss=2.23873e+07 at 0.124481 sec",13319
D178N,2020-10-12_SNV_D178N,B01,WT_control,runSam,ok,NA,4.438999999999396,,13319
D178N,2020-10-12_SNV_D178N,C01,positive_control,runDensity,failed,wrong sign in 'by' argument,0.03600000000005821,,NA
D178N,2020-10-12_SNV_D178N,C01,positive_control,runPeaks,failed,wrong sign in 'by' argument,1.7010000000000218,,NA
D178N,2020-10-12_SNV_D178N,C01,positive_control,runSam,ok,NA,4.4890000000004875,"[1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point.""",15700
E200K,2020-10-12_SNV_E200K,A02,NTC,runDensity,ok,NA,0.01700000000073487,,12344
E200K,2020-10-12_SNV_E200K,A02,NTC,runPeaks,ok,NA,0.33399999999983265,"        step 0, set the intial seeds, tot.wss=1.38332e+06 |         step 1, do the rough EM, tot.wss=977377 at 0.034229 sec |         step 2, do the fine transfer of Hartigan-Wong Algorithm |                  tot.wss=970193 at 0.068193 sec",12344
E200K,2020-10-12_SNV_E200K,A02,NTC,runSam,ok,NA,2.3739999999997963,,12344
E200K,2020-10-12_SNV_E200K,B02,WT_control,runDensity,ok,NA,0.46200000000044383,"[1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point.""",14469
E200K,2020-10-12_SNV_E200K,B02,WT_control,runPeaks,ok,NA,0.944999999999709,"        step 0, set the intial seeds, tot.wss=1.22993e+07 |         step 1, do the rough EM, tot.wss=8.47812e+06 at 0.039793 sec |         step 2, do the fine transfer of Hartigan-Wong Algorithm |                  tot.wss=8.34381e+06 at 0.083779 sec",14469
E200K,2020-10-12_SNV_E200K,B02,WT_control,runSam,ok,NA,1.9700000000002547,,14469
