method_id,method_variant,assay,run_id,status,message,elapsed_seconds,output_excerpt,method_parameters_json
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2020-10-12_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2020-10-15_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2020-10-22_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2020-10-29_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2020-11-05_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2020-11-24_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2021-01-26_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2021-02-17_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2021-03-29_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2021-04-06_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2021-05-10_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2021-05-20_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,D178N,2021-10-14_SNV_D178N,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,E200K,2020-10-12_SNV_E200K,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
