assay,run_id,path,sample_table_path,reference_well,reference_file,reference_sample_type
D178N,2020-10-12_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2020-10-12_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2020-10-12_SNV_D178N/sample_table.csv,C01,C01_Amplitude.csv,positive_control
D178N,2020-10-15_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2020-10-15_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2020-10-15_SNV_D178N/sample_table.csv,C01,C01_Amplitude.csv,positive_control
D178N,2020-10-22_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2020-10-22_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2020-10-22_SNV_D178N/sample_table.csv,C01,C01_Amplitude.csv,positive_control
D178N,2020-10-29_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2020-10-29_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2020-10-29_SNV_D178N/sample_table.csv,H01,H01_Amplitude.csv,positive_control
D178N,2020-11-05_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2020-11-05_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2020-11-05_SNV_D178N/sample_table.csv,H01,H01_Amplitude.csv,positive_control
D178N,2020-11-24_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2020-11-24_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2020-11-24_SNV_D178N/sample_table.csv,H01,H01_Amplitude.csv,positive_control
D178N,2021-01-26_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-01-26_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-01-26_SNV_D178N/sample_table.csv,B01,B01_Amplitude.csv,positive_control
D178N,2021-02-17_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-02-17_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-02-17_SNV_D178N/sample_table.csv,A07,A07_Amplitude.csv,positive_control
D178N,2021-03-29_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-03-29_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-03-29_SNV_D178N/sample_table.csv,C01,C01_Amplitude.csv,positive_control
D178N,2021-04-06_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-04-06_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-04-06_SNV_D178N/sample_table.csv,C01,C01_Amplitude.csv,positive_control
D178N,2021-05-10_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-05-10_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-05-10_SNV_D178N/sample_table.csv,C01,C01_Amplitude.csv,positive_control
D178N,2021-05-20_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-05-20_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-05-20_SNV_D178N/sample_table.csv,C01,C01_Amplitude.csv,positive_control
D178N,2021-10-14_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-10-14_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/D178N/2021-10-14_SNV_D178N/sample_table.csv,C01,C01_Amplitude.csv,positive_control
E200K,2020-10-12_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/E200K/2020-10-12_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/E200K/2020-10-12_SNV_E200K/sample_table.csv,C02,C02_Amplitude.csv,positive_control
E200K,2020-10-15_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/E200K/2020-10-15_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/dPCP/E200K/2020-10-15_SNV_E200K/sample_table.csv,C02,C02_Amplitude.csv,positive_control
