method_id,method_variant,method_family,assay,sample,sample_type,sample_key,classification_status,classification_message,n_wells,run_dates,n_total_droplets,n_accepted_droplets,n_mut_expected,n_wt_expected,n_nn,n_wt_only,n_mut_only,n_double_positive,n_rain,n_unclassified,ref_positive,mut_positive,total,ref_negative,mut_negative,fractional_abundance,ci_low,ci_high,lambda_ref,lambda_mut,ratio,ratio_low,ratio_high,ratio_unbounded,p0_use,plate_p0_max,lob_count,lob_fa,detected_above_LoB,detected_above_LoD,is_germline_e200k
bayesian_control_mixture_hard_map,control-anchored Gaussian mixture with hard MAP calls,bayesian,D178N,03-112-cau,biological_sample,03_112_cau,ok,,1,2021-05-10,15378,15356,6,15044,312,15038,0,6,22,0,15044,6,15356,312,15350,0.010029209409248535,0.0036797584545128904,0.021842821985118544,3.896258368311206,3.908031053451139e-4,1.0030215360551245e-4,3.679893865718531e-5,2.184759411620938e-4,FALSE,4.8349561582539113e-4,2021-05-10,12,0.07814535035165408,FALSE,FALSE,FALSE
bayesian_control_mixture_hard_map,control-anchored Gaussian mixture with hard MAP calls,bayesian,D178N,03-112-ce,biological_sample,03_112_ce,ok,,1,2021-05-10,16399,16385,1,16166,219,16165,0,1,14,0,16166,1,16385,219,16384,0.0014144084728203948,3.580865960974035e-5,0.00788453041733304,4.315049831316411,6.103329368063853e-5,1.4144284786166382e-5,3.580867243234597e-7,7.885152124550755e-5,FALSE,4.8349561582539113e-4,2021-05-10,13,0.07934086054317974,FALSE,FALSE,FALSE
bayesian_control_mixture_hard_map,control-anchored Gaussian mixture with hard MAP calls,bayesian,D178N,03-112-fc,biological_sample,03_112_fc,ok,,1,2021-05-10,16359,16335,4,16254,81,16250,0,4,24,0,16254,4,16335,81,16331,0.0046148364370153915,0.0012569493559205713,0.011831174605382078,5.30661616936274,2.44902958427263e-4,4.6150494139973355e-5,1.2569651553359953e-5,1.1832574537935975e-4,FALSE,4.8349561582539113e-4,2021-05-10,13,0.07958371594735231,FALSE,FALSE,FALSE
bayesian_control_mixture_hard_map,control-anchored Gaussian mixture with hard MAP calls,bayesian,D178N,03-112-hip,biological_sample,03_112_hip,ok,,1,2021-05-10,16979,16960,4,16709,251,16705,0,4,19,0,16709,4,16960,251,16956,0.005598260451349841,0.0015250958790507146,0.014342501217112143,4.21315997021411,2.358768733663148e-4,5.598573874096874e-5,1.5251191385798477e-5,1.4344558585601872e-4,FALSE,4.8349561582539113e-4,2021-05-10,13,0.07665094339622641,FALSE,FALSE,FALSE
bayesian_control_mixture_hard_map,control-anchored Gaussian mixture with hard MAP calls,bayesian,D178N,03-112-mdb,biological_sample,03_112_mdb,ok,,1,2021-05-10,17503,17475,6,17433,42,17427,0,6,28,0,17433,6,17475,42,17469,0.005693835000407856,0.002087773231440393,0.012420861687938461,6.030856948818654,3.434065967813671e-4,5.694159216438301e-5,2.0878168203210894e-5,1.2422404657639303e-4,FALSE,4.8349561582539113e-4,2021-05-10,13,0.07439198855507868,FALSE,FALSE,FALSE
bayesian_control_mixture_hard_map,control-anchored Gaussian mixture with hard MAP calls,bayesian,D178N,03-112-th,biological_sample,03_112_th,ok,,1,2021-05-10,15888,15861,7,15783,78,15776,0,7,27,0,15783,7,15861,78,15854,0.008304841844399174,0.0033368529945148806,0.01713841831773969,5.314909718213957,4.414315064587336e-4,8.30553160566336e-5,3.336964344109523e-5,1.7141356075049165e-4,FALSE,4.8349561582539113e-4,2021-05-10,12,0.07565727255532438,FALSE,FALSE,FALSE
bayesian_control_mixture_hard_map,control-anchored Gaussian mixture with hard MAP calls,bayesian,D178N,03-132-cau,biological_sample,03_132_cau,ok,,1,2021-05-10,15573,15559,4,14835,724,14831,0,4,14,0,14835,4,15559,724,15555,0.008381052651066168,0.0022833814457198193,0.021465470247383753,3.0676031359292466,2.5711898322534703e-4,8.381755130376729e-5,2.283433585218629e-5,2.1470078900782293e-4,FALSE,4.8349561582539113e-4,2021-05-10,12,0.07712577929172826,FALSE,FALSE,FALSE
bayesian_control_mixture_hard_map,control-anchored Gaussian mixture with hard MAP calls,bayesian,D178N,03-132-ce,biological_sample,03_132_ce,ok,,1,2021-05-10,15413,15386,2,15002,384,15000,0,2,27,0,15002,2,15386,384,15384,0.0035222782836790215,4.2654138923200194e-4,0.012728804650541384,3.690570731431153,1.2999675026431759e-4,3.522402352492147e-5,4.2654320861532964e-6,1.2730425081481189e-4,FALSE,4.8349561582539113e-4,2021-05-10,12,0.07799298063174315,FALSE,FALSE,FALSE
bayesian_control_mixture_hard_map,control-anchored Gaussian mixture with hard MAP calls,bayesian,D178N,03-132-fc,biological_sample,03_132_fc,ok,,1,2021-05-10,12864,12837,0,12822,15,12822,0,0,27,0,12822,0,12837,15,12837,0,0,0.004267481380220705,6.752036703982732,0,0,0,4.267663501966021e-5,FALSE,4.8349561582539113e-4,2021-05-10,11,0.0856898029134533,FALSE,FALSE,FALSE
bayesian_control_mixture_hard_map,control-anchored Gaussian mixture with hard MAP calls,bayesian,D178N,03-132-hip,biological_sample,03_132_hip,ok,,1,2021-05-10,15504,15475,0,15427,48,15427,0,0,29,0,15427,0,15475,48,15475,0,0,0.004131919250268442,5.77578008664489,0,0,0,4.1320899848899655e-5,FALSE,4.8349561582539113e-4,2021-05-10,12,0.07754442649434572,FALSE,FALSE,FALSE
