method_id,assay,channel,channel_role,status,message,negative_mean,negative_sd,positive_mean,positive_sd,negative_upper,positive_lower,rain_band_overlap,run_id,threshold_interval,reps,threshold,elapsed_seconds
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-12_SNV_D178N,0.995,10,6272.5,0.5960000000000036
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-12_SNV_D178N,0.995,10,1166.5,0.5760000000000076
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-15_SNV_D178N,0.995,10,6272.5,0.5279999999999916
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-15_SNV_D178N,0.995,10,1167,0.5599999999999881
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-22_SNV_D178N,0.995,10,6272.5,0.6430000000000007
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-22_SNV_D178N,0.995,10,1167,0.5690000000000026
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-29_SNV_D178N,0.995,10,6272.5,0.48399999999999466
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-29_SNV_D178N,0.995,10,1166.5,0.5380000000000109
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-05_SNV_D178N,0.995,10,6272.5,0.5840000000000032
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-05_SNV_D178N,0.995,10,1167,0.5630000000000024
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-24_SNV_D178N,0.995,10,6272.5,0.4709999999999752
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-24_SNV_D178N,0.995,10,1167.5,0.5900000000000034
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-26_SNV_D178N,0.995,10,6272.5,0.539999999999992
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-26_SNV_D178N,0.995,10,1166.5,0.5560000000000116
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-17_SNV_D178N,0.995,10,6272.5,0.5860000000000127
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-17_SNV_D178N,0.995,10,1167.5,1.1539999999999964
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-29_SNV_D178N,0.995,10,6272.5,0.4939999999999998
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-29_SNV_D178N,0.995,10,1166.5,0.5440000000000111
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-06_SNV_D178N,0.995,10,6272.5,0.4759999999999991
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-06_SNV_D178N,0.995,10,1166.5,0.5269999999999868
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10_SNV_D178N,0.995,10,6272.5,0.5500000000000114
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10_SNV_D178N,0.995,10,1166.5,0.6599999999999966
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-20_SNV_D178N,0.995,10,6272.5,0.5810000000000173
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-20_SNV_D178N,0.995,10,1166.5,0.5180000000000007
ddpcRquant_0995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-14_SNV_D178N,0.995,10,6272.5,0.5530000000000257
ddpcRquant_0995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-14_SNV_D178N,0.995,10,1166.5,0.5409999999999968
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-12_SNV_E200K,0.995,10,8228,0.4819999999999993
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-12_SNV_E200K,0.995,10,811,0.539999999999992
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-15_SNV_E200K,0.995,10,8229,0.49100000000001387
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-15_SNV_E200K,0.995,10,811,0.4960000000000093
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-22_SNV_E200K,0.995,10,8227.5,0.44899999999995543
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-22_SNV_E200K,0.995,10,810.5,0.5120000000000005
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-29_SNV_E200K,0.995,10,8228.5,0.4670000000000414
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-29_SNV_E200K,0.995,10,810.5,0.5720000000000027
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-05_SNV_E200K,0.995,10,8228.5,0.4959999999999809
