Sample	Total	Primary	Secondary	Supplementary	Duplicates	PrimaryDuplicates	Mapped	PrimaryMapped	Paired	Read1	Read2	ProperlyPaired	WithItselfAndMateMapped	Singletons	WithMateDifferentChr	WithMateDifferentChrMapQ5
CJD11_bwa	2072586	1908464	0	164122	686135	686135	1963242	1799120	1908464	954232	954232	1600784	1782036	17084	107738	30193
CJD11_orig	2136789	1975570	0	161219	703661	703661	1881489	1720270	1975570	987785	987785	1576554	1684710	35560	47508	9869
CJD12_bwa	1042462	998106	0	44356	33470	33470	808673	764317	998106	499053	499053	659742	746660	17657	48756	16103
CJD12_orig	1190591	1139454	0	51137	39557	39557	648779	597642	1139454	569727	569727	507054	563500	34142	27828	5593
CJD13_bwa	2499568	2401112	0	98456	1352316	1352316	2430766	2332310	2401112	1200556	1200556	2205234	2320604	11706	68522	19350
CJD13_orig	2689172	2587202	0	101970	1470808	1470808	2524753	2422783	2587202	1293601	1293601	2302682	2397302	25481	33992	6927
CJD14_bwa	2903941	2749144	0	154797	7537	7537	2183466	2028669	2749144	1374572	1374572	1682182	1977734	50935	162614	52289
CJD14_orig	3368758	3177802	0	190956	9479	9479	1658939	1467983	3177802	1588901	1588901	1171834	1363348	104635	95472	18439
CJD15_bwa	2445271	2319734	0	125537	6759	6759	1882733	1757196	2319734	1159867	1159867	1506576	1723030	34166	116752	37021
CJD15_orig	2748227	2599158	0	149069	7840	7840	1323205	1174136	2599158	1299579	1299579	966368	1101860	72276	62528	12071
CJD18_bwa	2690744	2536644	0	154100	7072	7072	2097521	1943421	2536644	1268322	1268322	1655844	1909684	33737	134952	42599
CJD18_orig	3015079	2826690	0	188389	6873	6873	1499806	1311417	2826690	1413345	1413345	1081098	1239492	71925	72532	13849
CJD19_bwa	1435001	1340012	0	94989	8681	8681	1125212	1030223	1340012	670006	670006	826022	1005092	25131	97880	31412
CJD19_orig	1612045	1497750	0	114295	10619	10619	896209	781914	1497750	748875	748875	617900	730586	51328	56586	11487
CJD1_bwa	3208139	3071084	0	137055	1904497	1904497	3108138	2971083	3071084	1535542	1535542	2787616	2954518	16565	99496	28321
CJD1_orig	3409092	3269448	0	139644	2028016	2028016	3168480	3028836	3269448	1634724	1634724	2865440	2992954	35882	49488	10147
CJD21_bwa	918052	888250	0	29802	290979	290979	877073	847271	888250	444125	444125	796672	841414	5857	25684	7568
CJD21_orig	1029083	996052	0	33031	342387	342387	931982	898951	996052	498026	498026	849002	886570	12381	14574	2941
CJD22_bwa	3019124	2827976	0	191148	1742491	1742491	2848016	2656868	2827976	1413988	1413988	2385322	2627412	29456	147824	43919
CJD22_orig	3260988	3064466	0	196522	1869236	1869236	2910571	2714049	3064466	1532233	1532233	2498120	2657040	57009	80912	18409
CJD23_bwa	2535915	2395380	0	140535	1059612	1059612	2397009	2256474	2395380	1197690	1197690	2087546	2242078	14396	92656	26367
CJD23_orig	2698094	2555318	0	142776	1128171	1128171	2363678	2220902	2555318	1277659	1277659	2075710	2188616	32286	43352	9237
CJD24_bwa	2512195	2319152	0	193043	16559	16559	2015280	1822237	2319152	1159576	1159576	1447208	1784864	37373	178672	56573
CJD24_orig	2844826	2608258	0	236568	16470	16470	1707956	1471388	2608258	1304129	1304129	1168362	1390602	80786	107342	22513
CJD25_bwa	3043424	2748430	0	294994	1399512	1399512	2808885	2513891	2748430	1374215	1374215	2163724	2490636	23255	201316	67973
CJD25_orig	3303124	3003886	0	299238	1494912	1494912	2821454	2522216	3003886	1501943	1501943	2264478	2470530	51686	110930	33140
CJD26_bwa	890410	846320	0	44090	5537	5537	693696	649606	846320	423160	423160	552930	635552	14054	44580	14442
CJD26_orig	1011856	959384	0	52472	6549	6549	532957	480485	959384	479692	479692	397546	451916	28569	25476	4931
CJD27_bwa	5813064	5486184	0	326880	3663784	3663784	5578329	5251449	5486184	2743092	2743092	4854690	5218884	32565	218838	61420
CJD27_orig	6204933	5870906	0	334027	3856403	3856403	5625477	5291450	5870906	2935453	2935453	4958470	5219710	71740	107062	23011
CJD28_bwa	1133453	1066702	0	66751	3268	3268	883426	816675	1066702	533351	533351	688792	800586	16089	61430	19475
CJD28_orig	1293471	1214658	0	78813	3610	3610	655295	576482	1214658	607329	607329	470610	541924	34558	34198	6953
CJD29_bwa	1130699	1060032	0	70667	7689	7689	866150	795483	1060032	530016	530016	643240	774008	21475	73128	23250
CJD29_orig	1282432	1200638	0	81794	8829	8829	677568	595774	1200638	600319	600319	469220	553256	42518	42782	8631
CJD2_bwa	2933831	2819062	0	114769	1691140	1691140	2822758	2707989	2819062	1409531	1409531	2547174	2691190	16799	86468	24824
CJD2_orig	3160466	3041048	0	119418	1832280	1832280	2907488	2788070	3041048	1520524	1520524	2643376	2753294	34776	44350	8993
CJD30_bwa	1742598	1656044	0	86554	6600	6600	1301235	1214681	1656044	828022	828022	1032896	1186262	28419	89288	28899
CJD30_orig	1980003	1885322	0	94681	7346	7346	896574	801893	1885322	942661	942661	649430	744804	57089	49352	9491
CJD31_bwa	748384	700806	0	47578	1261	1261	597905	550327	700806	350403	350403	459860	540178	10149	43044	13577
CJD31_orig	844063	786440	0	57623	1650	1650	454639	397016	786440	393220	393220	323002	374816	22200	24328	4921
