sample_id	group	batch	input_dir	bam_path	bam_style	targets_bed	coding_bed	reference_fasta	target_bases_total	coding_bases_total	cov_thr_x1	cov_thr_x2	cov_thr_x3	min_mapq	exclude_flags_common_hex	exclude_flags_unique_hex	reads_total	reads_mapped	reads_primary_mapped	reads_duplicate	reads_qc_fail	on_target_reads	on_target_fraction	on_target_percent	target_mean_depth	target_median_depth	target_p20_depth	target_fold80	pct_bases_ge_x1	pct_bases_ge_x2	pct_bases_ge_x3	bases_covered_ge_x1	bases_covered_ge_x2	bases_covered_ge_x3	coding_mean_depth	coding_median_depth	coding_p20_depth	coding_fold80	coding_pct_bases_ge_x1	coding_pct_bases_ge_x2	coding_pct_bases_ge_x3	coding_bases_covered_ge_x1	coding_bases_covered_ge_x2	coding_bases_covered_ge_x3	picard_metrics_path	pct_duplication	estimated_library_size	bam_mtime_iso	bam_size_bytes	pipeline_run_id
NA100_undil	dilution	2021-02-03_dilutions	/add/seq_data/2025-02-07_dilutions_bwa	/add/seq_data/2025-02-07_dilutions_bwa/NA100_undil.bwa.picard.markedDup.recal.bam	long	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	2432796	2341526	2222988	1057352	0	1730371	0.778399	77.840	5029.907	5603.000	3939.000	1.277	99.834	98.516	95.176	21669	21383	20658	5741.801	5631.000	4985.000	1.152	100.000	100.000	100.000	762	762	762	/add/seq_data/2025-02-07_dilutions_bwa/NA100_undil.bwa.picard.markedDup.metrics	0.475644	749461	2025-02-07T16:33:46	236141989	2026-02-08_132228
NA99A1_undil	dilution	2021-02-03_dilutions	/add/seq_data/2025-02-07_dilutions_bwa	/add/seq_data/2025-02-07_dilutions_bwa/NA99A1_undil.bwa.picard.markedDup.recal.bam	long	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	3396646	3278404	3147044	2046406	0	2566790	0.815619	81.562	4379.563	4722.000	4021.000	1.089	99.797	98.185	95.936	21661	21311	20823	4651.226	4599.000	4182.000	1.112	100.000	100.000	100.000	762	762	762	/add/seq_data/2025-02-07_dilutions_bwa/NA99A1_undil.bwa.picard.markedDup.metrics	0.650263	584025	2025-02-07T16:54:42	315342608	2026-02-08_132228
NA99A1_1to5	dilution	2021-02-03_dilutions	/add/seq_data/2025-02-07_dilutions_bwa	/add/seq_data/2025-02-07_dilutions_bwa/NA99A1_1to5.bwa.picard.markedDup.recal.bam	long	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	5008652	4630798	4122918	1776191	0	2260941	0.548384	54.838	4943.540	5327.000	4564.000	1.083	100.000	99.585	97.784	21705	21615	21224	5287.457	5222.000	4904.000	1.078	100.000	100.000	100.000	762	762	762	/add/seq_data/2025-02-07_dilutions_bwa/NA99A1_1to5.bwa.picard.markedDup.metrics	0.430809	1602840	2025-02-07T17:47:54	556123406	2026-02-08_132228
NA100_1to10	dilution	2021-02-03_dilutions	/add/seq_data/2025-02-07_dilutions_bwa	/add/seq_data/2025-02-07_dilutions_bwa/NA100_1to10.bwa.picard.markedDup.recal.bam	long	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	4186862	4107130	4018796	2908755	0	3651485	0.908602	90.860	5783.552	6405.000	4867.000	1.188	99.714	97.742	95.536	21643	21215	20736	6573.525	6469.000	5599.000	1.174	100.000	100.000	100.000	762	762	762	/add/seq_data/2025-02-07_dilutions_bwa/NA100_1to10.bwa.picard.markedDup.metrics	0.723788	567417	2025-02-07T19:19:14	351985582	2026-02-08_132228
A100_1to2	dilution	2021-02-03_dilutions	/add/seq_data/2025-02-07_dilutions_bwa	/add/seq_data/2025-02-07_dilutions_bwa/A100_1to2.bwa.picard.markedDup.recal.bam	long	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	3720278	3613017	3405879	1922460	0	2688205	0.789284	78.928	5973.791	6653.000	5102.000	1.171	99.737	98.770	96.807	21648	21438	21012	6505.413	6242.500	5784.000	1.125	100.000	100.000	100.000	762	762	762	/add/seq_data/2025-02-07_dilutions_bwa/A100_1to2.bwa.picard.markedDup.metrics	0.564453	851544	2025-02-07T19:45:10	360715118	2026-02-08_132228
NA100_1to2	dilution	2021-02-03_dilutions	/add/seq_data/2025-02-07_dilutions_bwa	/add/seq_data/2025-02-07_dilutions_bwa/NA100_1to2.bwa.picard.markedDup.recal.bam	long	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	3522281	3375494	3196919	2075590	0	2541502	0.794985	79.498	3671.791	3926.000	3462.000	1.061	99.931	99.369	97.107	21690	21568	21077	3938.388	3993.500	3597.000	1.095	100.000	100.000	100.000	762	762	762	/add/seq_data/2025-02-07_dilutions_bwa/NA100_1to2.bwa.picard.markedDup.metrics	0.649247	589607	2025-02-07T20:08:40	336174705	2026-02-08_132228
NA995A05_undil	dilution	2021-02-03_dilutions	/add/seq_data/2025-02-07_dilutions_bwa	/add/seq_data/2025-02-07_dilutions_bwa/NA995A05_undil.bwa.picard.markedDup.recal.bam	long	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	5213077	5017259	4751420	2494886	0	3658778	0.770039	77.004	9279.535	9996.000	7368.000	1.259	99.908	98.963	97.088	21685	21480	21073	10050.479	9478.500	7846.000	1.281	100.000	100.000	100.000	762	762	762	/add/seq_data/2025-02-07_dilutions_bwa/NA995A05_undil.bwa.picard.markedDup.metrics	0.525082	1356558	2025-02-07T20:43:29	477986937	2026-02-08_132228
CJD1	CJD	2021-10-19_first_CJD_seq	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD1.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	3208139	3108138	2971083	1904497	0	2445853	0.823219	82.322	4270.802	4634.000	3764.000	1.135	100.000	99.539	97.595	21705	21605	21183	4873.568	4834.000	4492.000	1.085	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:54:23	278323254	2026-02-08_132228
CJD2	CJD	2021-10-19_first_CJD_seq	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD2.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	2933831	2822758	2707989	1691140	0	2226260	0.822108	82.211	4100.761	4469.000	3709.000	1.106	100.000	99.484	97.342	21705	21593	21128	4748.545	4671.000	4500.000	1.055	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:53:39	265288727	2026-02-08_132228
CJD6	CJD	2021-10-19_first_CJD_seq	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD6.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	3258290	3104189	2879603	1491733	0	1986976	0.690017	69.002	4251.436	3234.000	1379.000	3.083	99.857	86.897	82.704	21674	18861	17951	13996.755	14138.000	13340.000	1.049	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:54:26	319339800	2026-02-08_132228
